@RELATION california_housing

@ATTRIBUTE "Longitude" NUMERIC
@ATTRIBUTE "MedInc" NUMERIC
@ATTRIBUTE "Latitude" NUMERIC
@ATTRIBUTE "AveRooms" NUMERIC
@ATTRIBUTE "AveOccup" NUMERIC
@ATTRIBUTE "MedHouseVal" NUMERIC

@DATA
-122.23,8.3252,37.88,6.984126984126984,2.5555555555555554,4.526
-122.22,8.3014,37.86,6.238137082601054,2.109841827768014,3.585
-122.24,7.2574,37.85,8.288135593220339,2.8022598870056497,3.521
-122.25,5.6431,37.85,5.8173515981735155,2.547945205479452,3.413
-122.25,3.8462,37.85,6.281853281853282,2.1814671814671813,3.422
-122.25,4.0368,37.85,4.761658031088083,2.139896373056995,2.697
-122.25,3.6591,37.84,4.9319066147859925,2.1284046692607004,2.992
-122.25,3.12,37.84,4.797527047913447,1.7882534775888717,2.414
-122.26,2.0804,37.84,4.294117647058823,2.026890756302521,2.267
-122.25,3.6912,37.84,4.970588235294118,2.172268907563025,2.611
-122.26,3.2031,37.85,5.477611940298507,2.263681592039801,2.815
-122.26,3.2705,37.85,4.772479564032698,2.0490463215258856,2.418
-122.26,3.075,37.85,5.322649572649572,2.3461538461538463,2.135
-122.26,2.6736,37.84,4.0,1.9827586206896552,1.913
-122.26,1.9167,37.85,4.262903225806451,1.9548387096774191,1.592
-122.26,2.125,37.85,4.242424242424242,2.640151515151515,1.4
-122.27,2.775,37.85,5.9395770392749245,2.395770392749245,1.525
-122.27,2.1202,37.85,4.052805280528053,2.1386138613861387,1.555
-122.26,1.9911,37.84,5.343675417661098,2.3627684964200477,1.587
-122.27,2.6033,37.84,5.465454545454546,2.5090909090909093,1.629
-122.27,1.3578,37.85,4.524096385542169,2.463855421686747,1.475
-122.27,1.7135,37.85,4.478142076502732,2.5382513661202184,1.598
-122.27,1.725,37.84,5.096234309623431,2.1234309623430963,1.139
-122.27,2.1806,37.84,5.193846153846154,2.624615384615385,0.997
-122.27,2.6,37.84,5.270142180094787,2.3838862559241707,1.326
-122.28,2.4038,37.85,4.495798319327731,2.6638655462184873,1.075
-122.28,2.4597,37.85,4.7280334728033475,2.5397489539748954,0.938
-122.28,1.808,37.85,4.7808564231738035,2.7758186397984885,1.055
-122.28,1.6424,37.84,4.40169133192389,2.391120507399578,1.089
-122.28,1.6875,37.84,4.703225806451613,2.5483870967741935,1.32
-122.28,1.9274,37.84,5.068783068783069,2.2830687830687832,1.223
-122.28,1.9615,37.84,4.882086167800454,2.6485260770975056,1.152
-122.27,1.7969,37.84,5.737313432835821,3.062686567164179,1.104
-122.27,1.375,37.83,5.0303951367781155,2.291793313069909,1.049
-122.27,2.7303,37.83,4.972014925373134,2.3470149253731343,1.097
